Balaji Warehousing Co Pvt Ltd,,,,,,,,
"Venkus Sadan ,No.610,  2nd Cross,",,,,,,,,
,,Being the amount paid towards FACT LTPT  - 230.000 Mts @ Rs.180/-,,,,,,
07-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,26546,,2100.00
,,Being the amount paid towards FACT stock  Loading charges - 70.000mts @ Rs.30/- Dt.07.08.2020,,,,,,
07-08-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,26547,,150.00
,,Being the amount paid towards GSFL stock  loading charges 05.000 mts @ Rs.30/-,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26548,,7000.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26549,,7000.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26550,,7000.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26551,,7000.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26552,,7000.00
,,Being the amount paid towards  Fci gdn QC salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26553,,7000.00
,,Being the amount paid towards  Fci gdn QC salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26554,,4500.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26555,,4500.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26556,,4500.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26557,,4500.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26558,,4500.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,26559,,4500.00
,,Being the amount paid towards  Fci gdn CL salary for the month of July-2020.,,,,,,
07-08-2020,Cr,Bgm Misc.Income,,,Receipt,3249,2000.00,
,,Being amount Recvd from  Casual Labour advance Dt.07.08.2020,,,,,,
07-08-2020,Dr,Bgm Godown Maintenence,,,Payment,26560,,350.00
,,Being the amount paid towards purchsaing pendrive FCI FSD  QC sIR PURPOSE,,,,,,
07-08-2020,Dr,Bgm Office Maintenence Wages,,,Payment,26561,,6000.00
,,Being the amount paid towards salary fot the month of july 15 days through UMESH,,,,,,
07-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,26562,,11560.00
,,Being the amount paid towards FACT LTPT  -192.000 Mts @ Rs.180/-,,,,,,
08-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,26889,,3000.00
,,"Being the Advance freight amount payable towards FL No:40436,40438",,,,,,
08-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,26890,,3300.00
,,Being the amount paid towards FACT stock  Loading charges - 110.000mts @ Rs.30/- Dt.08.08.2020,,,,,,
08-08-2020,Dr,Bgm Printing & Stationery,,,Payment,26891,,200.00
,,Being amount paid t/w Office stationary charges Dt.07.08.2020 as per details enclosed.,,,,,,
08-08-2020,Dr,Bgm Office Maintenence Expenes,,,Payment,26892,,350.00
,,Being the amount paid towards Printing cortage refilling charges Dt.08.08.2020.,,,,,,
08-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,26893,,12366.00
,,Being the BGM FACT LTPT charges payable towards (193.700mts),,,,,,
08-08-2020,Dr,Bgm Pooja Expenses,,,Payment,26894,,100.00
,,Being the amount paid towards Pooja expense,,,,,,
10-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,27292,,960.00
,,Being the amount paid towards FACT stock  Loading charges - 32.000mts @ Rs.30/- Dt.10.08.2020,,,,,,
10-08-2020,Dr,BGM FCI GH Expense,,,Payment,27293,,10632.00
,,Being the amount paid towards FCI rice stock unloading charges for 3544 bags @ Rs.32/-,,,,,,
10-08-2020,Dr,BGM FCI GH Expense,,,Payment,27294,,9361.00
,,Being the amount paid towards FCI rice stock unloading charges for 3404bags @ Rs.2.75/-,,,,,,
10-08-2020,Dr,BGM FCI GH Expense,,,Payment,27295,,8052.00
,,Being the amount paid towards FCI rice stock unloading charges for 2928bags @ Rs.2.75/-,,,,,,
10-08-2020,Dr,BGM FCI GH Expense,,,Payment,27296,,7719.00
,,Being the amount paid towards FCI rice stock unloading charges for 2807 bags @ Rs.2.75/-,,,,,,
10-08-2020,Dr,Bgm Fact W & D Expenses,,,Payment,27297,,6615.00
,,Being amount paid t/w DC Charges for FACT  Rake on date 01.08.2020,,,,,,
10-08-2020,Dr,"Bgm  Fci  Rh Other Expenses Payable 20-21
",,,Payment,27298,,11100.00
,,Being amount paid t/w FCI RH OTHERS Expenses approvaL IOC No:-568/DM/2020-21,,,,,,
10-08-2020,Dr,"Bgm  Fci  Rh Other Expenses Payable 20-21
",,,Payment,27299,,16260.00
,,Being amount paid t/w FCI RH OTHERS Expenses approval IOC No:-568/DM/2020-21,,,,,,
10-08-2020,Dr,"Bgm  Fci  Rh Other Expenses Payable 20-21
",,,Payment,27300,,16301.00
,,Being amount paid t/w FCI RH OTHERS Expenses approval IOC No:-568/DM/2020-21,,,,,,
10-08-2020,Dr,"Bgm  Fci  Rh Other Expenses Payable 20-21
",,,Payment,27301,,26200.00
,,Being amount paid t/w FCI RH OTHERS Expenses approval IOC No:-568/DM/2020-21,,,,,,
10-08-2020,Dr,"Bgm  Fci  Rh Other Expenses Payable 20-21
",,,Payment,27302,,23800.00
,,Being amount paid t/w FCI RH OTHERS Expenses approval IOC No:-568/DM/2020-21,,,,,,
10-08-2020,Dr,"Bgm  Fci  Rh Other Expenses Payable 20-21
",,,Payment,27303,,18501.00
,,Being amount paid t/w FCI RH OTHERS Expenses approval IOC No:-568/DM/2020-21,,,,,,
10-08-2020,Dr,Bgm Office Maintenence Expenes,,,Payment,27304,,350.00
,,Being the amount paid towards Printing cortage refilling charges Dt.10.08.2020.,,,,,,
10-08-2020,Dr,Bgm Conveyence Expenses,,,Payment,27305,,600.00
,,Being the amount paid towards FCI godown staff Auto charges 15 days@Rs.40/- Dt.24.07.2020-31.07.2020 & 01.08.2020-10.08.2020.,,,,,,
10-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,27306,,100.00
,,Being the amount paid towards candle charges for FCI gdn use purpose for unloading time Night.,,,,,,
10-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,27307,,9300.00
,,Being the BGM FACT LTPT charges payable towards (185.000mts),,,,,,
11-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3304,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
11-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,27600,,1800.00
,,Being the Advance freight amount payable towards FL No:-40439,,,,,,
11-08-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,27601,,300.00
,,Being the amount paid towards GSFL stock  loading charges 10.000 mts @ Rs.30/-,,,,,,
11-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,27602,,3120.00
,,Being the amount paid towards FACT stock  Loading charges - 104.000mts @ Rs.30/- Dt.11.08.2020,,,,,,
11-08-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,27603,,100.00
,,Being amount paid t/w courier charges.,,,,,,
11-08-2020,Dr,Bgm Vehicle Maintenence,,,Payment,27604,,420.00
,,Being the amount paid towards company bike petrol charges as per  bill enclosed.,,,,,,
11-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,27605,,300.00
,,Being the amount paid towards FCI gdn labour medical charges from dump from lot.,,,,,,
11-08-2020,Dr,BGM FCI GH Expense,,,Payment,27606,,6924.00
,,Being the amount paid towards FCI rice stock Loading & Unloading charges dealers PTO Unloading  1713 bags @ Rs.2.75/- Loading charges 1770 bags @ Rs.1.25/- Dt.11.08.2020.,,,,,,
11-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,27607,,11500.00
,,Being the BGM FACT LTPT charges payable towards (175.000mts),,,,,,
11-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,27608,,1100.00
,,Being the Balance freight amount payable towards FL No:-40344,,,,,,
12-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,27764,,2010.00
,,Being the amount paid towards FACT stock  Loading charges - 67.000mts @ Rs.30/- Dt.12.08.2020,,,,,,
13-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,27900,,1230.00
,,Being the amount paid towards FACT stock  Loading charges - 41.000mts @ Rs.30/- Dt.13.08.2020.,,,,,,
14-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,28194,,2800.00
,,Being the advance freight amount payable towards FL No:- 40440,,,,,,
14-08-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,28195,,450.00
,,Being the amount paid towards GSFL stock  loading charges 15.000 mts @ Rs.30/-,,,,,,
14-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,28196,,150.00
,,Being the amount paid towards FACT stock  Loading charges - 05.000mts @ Rs.30/- Dt.14.08.2020.,,,,,,
14-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,28197,,200.00
,,Being the amount paid towards painting for notice board through umesh,,,,,,
14-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,28198,,400.00
,,Being the amount paid towards Fci Gdn water tank for gdn staff purpose Dt.14.08.2020.,,,,,,
14-08-2020,Dr,Bgm Tele Phone Expenses,,,Payment,28199,,1500.00
,,Being the Tele Phone & Internet charges payable for the Period of 01.05.2020-31.07.2020,,,,,,
15-08-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,28483,,18800.00
,,Being amount paid t/w FCI labour welfare charges,,,,,,
16-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,28518,,1860.00
,,Being the amount paid towards FACT stock  Loading charges - 62.000mts @ Rs.30/- Dt.19.08.2020.,,,,,,
17-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,28731,,750.00
,,Being the amount paid towards FACT stock  Loading charges - 25.000mts @ Rs.30/- Dt.17.08.2020.,,,,,,
17-08-2020,Dr,Bgm Pooja Expenses,,,Payment,28732,,100.00
,,Being the amount paid towards Pooja expense charges Dt.15.08.2020.,,,,,,
17-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,28733,,9260.00
,,Being the BGM FACT LTPT charges payable towards (132.000mts),,,,,,
17-08-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,28734,,754.00
,,Being the ltpt amt paid towards SPIC Rake LTPT balance payment  (15.300 mts),,,,,,
17-08-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,28735,,1600.00
,,Being the ltpt amt paid towards SPIC Rake LTPT balance payment  (20.000 mts),,,,,,
18-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3507,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
18-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3508,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
18-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3509,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
18-08-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3510,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
18-08-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3511,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
18-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3512,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
18-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3513,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
18-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3514,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
18-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,29121,,1710.00
,,Being the amount paid towards FACT stock  Loading charges - 57.000mts @ Rs.30/- Dt.18.08.2020.,,,,,,
18-08-2020,Dr,BGM FCI GH Expense,,,Payment,29122,,661020.00
,,Being the amount paid towards FCI rice stock Loading & Unloading charges upto 01.08.2020-15.08.2020.,,,,,,
19-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,29361,,6600.00
,,Being the BGM FACT LTPT charges payable towards (70.000mts),,,,,,
20-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3576,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
20-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,29648,,1350.00
,,Being the amount paid towards FACT stock  Loading charges - 45.000mts @ Rs.30/- Dt.20.08.2020.,,,,,,
20-08-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,29649,,400.00
,,Being the amount paid towards Fci Gdn water tank for gdn staff purpose Dt.20.08.2020.,,,,,,
20-08-2020,Dr,Bgm Pooja Expenses,,,Payment,29650,,230.00
,,Being the amount paid towards Pooja expense charges Dt.20.08.2020.,,,,,,
21-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,29870,,930.00
,,Being the amount paid towards FACT stock  Loading charges - 31.000mts @ Rs.30/- Dt.21.08.2020.,,,,,,
21-08-2020,Dr,BGM FCI GH Expense,,,Payment,29871,,14184.00
,,Being the amount paid towards FCI stock UnLoading charges - 4728mts @ Rs.3/- Dt.21.08.2020.,,,,,,
21-08-2020,Dr,BGM FCI GH Expense,,,Payment,29872,,10296.00
,,Being the amount paid towards FCI rice stock  Unloading charges 3744 bags @ Rs.2.75/- Dt.21.08.2020.,,,,,,
21-08-2020,Dr,BGM FCI GH Expense,,,Payment,29873,,14381.00
,,Being the amount paid towards FCI rice stock  Unloading charges 5531bags @ Rs.2.60/- Dt.21.08.2020.,,,,,,
21-08-2020,Dr,Bgm Vehicle Maintenence,,,Payment,29874,,420.00
,,Being the amount paid towards company bike petrol charges as per  bill enclosed.,,,,,,
21-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,29875,,3044.00
,,Being the BGM FACT LTPT charges payable towards 55.800 mts,,,,,,
24-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3654,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
24-08-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3655,50000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
24-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3656,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
24-08-2020,Dr,BGM FCI GH Expense,,,Payment,30311,,19385.00
,,Being the amount paid towards FCI stock UnLoading charges - 7049 mts @ Rs.2.75/- Dt.23.08.2020.,,,,,,
24-08-2020,Dr,BGM FCI GH Expense,,,Payment,30312,,15538.00
,,Being the amount paid towards FCI stock UnLoading charges - 5650 mts @ Rs.2.75/- Dt.23.08.2020.,,,,,,
24-08-2020,Dr,BGM FCI GH Expense,,,Payment,30313,,17707.00
,,Being the amount paid towards FCI stock UnLoading charges - 6439 mts @ Rs.2.75/- Dt.23.08.2020.,,,,,,
24-08-2020,Dr,BGM FCI GH Expense,,,Payment,30314,,12138.00
,,Being the amount paid towards FCI stock UnLoading charges -4414 bags @ Rs.2.75/- Dt.23.08.2020.,,,,,,
24-08-2020,Dr,BGM FCI GH Expense,,,Payment,30315,,14451.00
,,Being the amount paid towards FCI stock UnLoading charges - 5255 bags @ Rs.2.75/- Dt.23.08.2020.,,,,,,
24-08-2020,Dr,BGM FCI GH Expense,,,Payment,30316,,10494.00
,,Being the amount paid towards FCI stock UnLoading charges - 3816 bags @ Rs.2.75/- Dt.23.08.2020.,,,,,,
24-08-2020,Dr,Bgm Fci Godown Maintenance,,,Payment,30317,,400.00
,,Being the amount paid towards Fci Gdn water tank for gdn staff purpose Dt.23.08.2020.,,,,,,
25-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3698,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
25-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3699,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
26-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,30779,,8500.00
,,Being the amount paid towards FACT stock UnLoading charges - 170 mts @ Rs.50/- Dt.26.08.2020.,,,,,,
26-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,30780,,11825.00
,,Being the amount paid towards FACT stock UnLoading charges - 215.000mts @ Rs.55/- Dt.26.08.2020.,,,,,,
26-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,30781,,7425.00
,,Being the amount paid towards FACT stock UnLoading charges - 165.000mts @ Rs.45/- Dt.26.08.2020.,,,,,,
26-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,30782,,12375.00
,,Being the amount paid towards FACT stock UnLoading charges -225.000mts @ Rs.55/- Dt.26.08.2020.,,,,,,
26-08-2020,Dr,Bgm Printing & Stationery,,,Payment,30783,,190.00
,,Being amount paid t/w A4 Size paper box Charges Dt.26.08.2020 as  per details enclosed.,,,,,,
26-08-2020,Dr,Bgm Fci Godown Maintenance,,,Payment,30784,,400.00
,,Being the amount paid towards Fci Gdn water tank for gdn staff purpose Dt.26.08.2020.,,,,,,
26-08-2020,Dr,Bgm Traveling Expenses,,,Payment,30785,,285.00
,,Being amount paid t/w Travelling charges for Zahid barger expenses for Dealer Seal purpose PTO.,,,,,,
26-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,30789,,97200.00
,,Being the BGM FACT LTPT charges payable towards 779.150 mts,,,,,,
26-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,30795,,750.00
,,Being the balance freight amount payable towards FL No:-40331,,,,,,
26-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,30796,,1200.00
,,Being the amount paid towards FACT stock Loading charges -40.000mts @ Rs.30/- Dt.27.08.2020.,,,,,,
28-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3799,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
28-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3800,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
28-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,31334,,1993.00
,,Being the amount paid towards FACT stock Loading charges -62.000mts @ Rs.30/- Unloading charges 4.150 mts Rs.45/-Dt.27.08.2020.,,,,,,
28-08-2020,Dr,BGM FCI GH Expense,,,Payment,31335,,13643.00
,,Being the amount paid towards FACT stock UnLoading charges-4961 bags  @ Rs.2.75/-Dt.28.08.2020.,,,,,,
28-08-2020,Dr,BGM FCI GH Expense,,,Payment,31336,,11682.00
,,Being the amount paid towards FCI stock UnLoading charges - 4248 bags @ Rs.2.75/- Dt.28.08.2020.,,,,,,
28-08-2020,Dr,BGM FCI GH Expense,,,Payment,31337,,14435.00
,,Being the amount paid towards FCI stock UnLoading charges - 5249 bags @ Rs.2.75/- Dt.28.08.2020.,,,,,,
28-08-2020,Dr,BGM FCI GH Expense,,,Payment,31338,,11932.00
,,Being the amount paid towards FCI stock UnLoading charges - 4339 bags @ Rs.2.75/- Dt.28.08.2020.,,,,,,
28-08-2020,Dr,BGM FCI GH Expense,,,Payment,31339,,8680.00
,,Being the amount paid towards FCI stock UnLoading charges - 3472 bags @ Rs.2.50/- Dt.28.08.2020.,,,,,,
28-08-2020,Dr,"Bgm Fact Rh Other Expenses Payable 20-21
",,,Payment,31340,,53338.00
,,Being the amount paid towards FACT Rake RH & others expenses charges Approval Ioc No:-658/DM/2020-21.,,,,,,
28-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,31341,,4300.00
,,Being the BGM FACT LTPT charges payable towards 85.000 Mts @ Rs.180/-,,,,,,
28-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,31342,,1500.00
,,Being the BGM FACT LTPT charges payable towards 4.500mts.,,,,,,
28-08-2020,Cr,Bgm Misc.Income,,,Receipt,3827,11182.00,
,,Being amount Recvd from RH sale loading lorry charges 559.100 mts @ 20/- (283.08.20),,,,,,
29-08-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3848,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
29-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,31694,,1800.00
,,Being the Advance freight amount payable towards FL No:-40441,,,,,,
29-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,31695,,4020.00
,,Being the amount paid towards FACT stock Loading charges-134.000 mts @ Rs.30/-Dt.29.08.2020.,,,,,,
29-08-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,31696,,450.00
,,Being the amount paid towards GSFL stock  loading charges 15.000 mts @ Rs.30/-,,,,,,
29-08-2020,Dr,BGM FCI GH Expense,,,Payment,31697,,14594.00
,,Being the amount paid towards FCI stock UnLoading charges - 5307 bags @ Rs.2.75/- Dt.29.08.2020.,,,,,,
29-08-2020,Dr,BGM FCI GH Expense,,,Payment,31698,,14729.00
,,Being the amount paid towards FCI stock UnLoading charges - 5356 bags @ Rs.2.75/- Dt.29.08.2020.,,,,,,
29-08-2020,Dr,BGM FCI GH Expense,,,Payment,31699,,14036.00
,,Being the amount paid towards FCI stock UnLoading charges - 5104 bags @ Rs.2.75/- Dt.29.08.2020.,,,,,,
29-08-2020,Dr,Bgm Fact RH Expenses,,,Payment,31700,,59740.00
,,"Being the amount paid towards FACT Rake RH charges wagons to truck 1014.950 mts @ Rs.35/-,wagons to wharf 322.900 mts @ Rs.35/-, wharf to truck 322.900 mts @ Rs.40/- Rake Dt.26.08.2020. 21 wagons",,,,,,
29-08-2020,Dr,Bgm Vehicle Maintenence,,,Payment,31701,,430.00
,,Being the amount paid towards company bike petrol charges as per  bill enclosed.,,,,,,
29-08-2020,Dr,Bgm Pooja Expenses,,,Payment,31702,,100.00
,,Being the amount paid towards Pooja expense charges Dt.29.08.2020,,,,,,
29-08-2020,Dr,Bgm Fci Godown Maintenance,,,Payment,31703,,400.00
,,Being the amount paid towards Fci Gdn water tank for gdn staff purpose Dt.29.08.2020.,,,,,,
29-08-2020,Dr,Bgm Fact W & D Expenses,,,Payment,31704,,945.00
,,Being amount paid towards FACT Rake DC charges  as per slips enclosed Dt.29.08.2020.,,,,,,
29-08-2020,Cr,Bgm Misc.Income,,,Receipt,3875,3380.00,
,,Being amount Recvd from Refound charges for Fact rake ex fright fact ex stock fefound Dt.29.08.2020.,,,,,,
31-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3885,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
31-08-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3886,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
31-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,32015,,9450.00
,,Being the amount paid towards FACT stock UnLoading charges-210.000 mts @ Rs.45/-Dt.31.08.2020.,,,,,,
31-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,32016,,12650.00
,,Being the amount paid towards FACT stock UnLoading charges-230.000 mts @Rs.55/-Dt.31.08.2020.,,,,,,
31-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,32017,,15125.00
,,Being the amount paid towards FACT stock UnLoading charges-275.000 mts @Rs.55/-Dt.31.08.2020.,,,,,,
31-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,32018,,14025.00
,,Being the amount paid towards FACT stock UnLoading charges-255.000 mts @Rs.55/-Dt.31.08.2020.,,,,,,
31-08-2020,Dr,Bgm Fact W & D Expenses,,,Payment,32019,,9923.00
,,Being amount paid t/w DC Charges for FACT  Rake on date 31.08.2020.,,,,,,
31-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,32020,,114500.00
,,Being the BGM FACT LTPT charges payable towards 943.050 mts,,,,,,
02-09-2020,Dr,BGM FCI GH Expense,,,Payment,32615,,12295.00
,,Being the amount paid towards FCI stock UnLoading charges - 4471 bags @ Rs.2.75/-  as per details enclosed.,,,,,,
02-09-2020,Dr,BGM FCI GH Expense,,,Payment,32616,,13109.00
,,Being the amount paid towards FCI stock UnLoading charges - 4767 bags @ Rs.2.75/-  as per details enclosed.,,,,,,
02-09-2020,Dr,BGM FCI GH Expense,,,Payment,32617,,11240.00
,,Being the amount paid towards FCI stock UnLoading charges - 4496 bags @ Rs.2.50/-  as per details enclosed.,,,,,,
02-09-2020,Dr,Bgm FACT Gh Expenses,,,Payment,32618,,975.00
,,Being the amount paid towards FACT stock Loading charges 10.000mts @ Rs.30/-& UnLoading charges-15.000 @ Rs.45/- as per details enclosed.,,,,,,
02-09-2020,Dr,Bgm Fact RH Expenses,,,Payment,32619,,57426.00
,,"Being the amount paid towards FACT Rake RH charges  Wagons to truck 1036.350mts @ Rs.35/-, and Wagons to Wharf 282.050mts @ Rs.35/-, & Wharf to Truck 282.050mts @ Rs.40/-. as per details enclosed",,,,,,
02-09-2020,Dr,Bgm Tpt Maintenence,,,Payment,32620,,1510.00
,,"Being the amount paid towards FCI,FSD empty bags freight charges approval  IOC.NO-691/DM/2020-21 as per details enclosed.",,,,,,
02-09-2020,Dr,Bgm Fact RH Expenses,,,Payment,32621,,6000.00
,,Being the amount paid towards FACT Rake LTPT advance payment DOC.NO-64810.64811 as per bill enclosed,,,,,,
02-09-2020,Dr,Bgm Fci Godown Maintenance,,,Payment,32622,,400.00
,,Being the amount paid towards  water tank for FCI godown use purpose 02.09.2020.,,,,,,
02-09-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,32623,,15800.00
,,Being the BGM FACT LTPT charges payable towards Dc No:64677-64680 (260mts@180/-),,,,,,
02-09-2020,Dr,Bgm Conveyence Expenses,,,Payment,32624,,100.00
,,Being the amount paid towards local conveyence to auto our staff office to Des RH godown through Umesh as per details enclosed,,,,,,
03-09-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,4027,100000.00,
